Date,Open,High,Low,Close,Adj Close,Volume
2021-09-08,0.095348,0.107106,0.084722,0.098716,0.098716,156410544
2021-09-09,0.097532,0.105108,0.095144,0.098413,0.098413,120931078
2021-09-10,0.098414,0.100250,0.086524,0.087723,0.087723,96718497
2021-09-11,0.088025,0.094507,0.085140,0.088092,0.088092,96591346
2021-09-12,0.087987,0.090725,0.084854,0.086576,0.086576,82783216
2021-09-13,0.086581,0.087162,0.076724,0.080340,0.080340,114801053
2021-09-14,0.080429,0.083440,0.078836,0.081048,0.081048,83250308
2021-09-15,0.081141,0.099051,0.079458,0.098021,0.098021,312578863
2021-09-16,0.097139,0.097436,0.083036,0.087434,0.087434,172295372
2021-09-17,0.087444,0.089840,0.080346,0.081470,0.081470,108002656
2021-09-18,0.081375,0.087316,0.080481,0.081460,0.081460,113701528
2021-09-19,0.081555,0.081555,0.075146,0.075826,0.075826,90648300
2021-09-20,0.075736,0.076325,0.062317,0.062908,0.062908,139175110
2021-09-21,0.063595,0.066903,0.055300,0.058206,0.058206,113337473
2021-09-22,0.058104,0.065740,0.056909,0.063705,0.063705,100748737
2021-09-23,0.063704,0.093094,0.061620,0.082342,0.082342,568397473
2021-09-24,0.082539,0.093653,0.068947,0.074260,0.074260,341286383
2021-09-25,0.074259,0.074657,0.068273,0.069269,0.069269,104423193
2021-09-26,0.069367,0.069560,0.059853,0.066249,0.066249,130942608
2021-09-27,0.066446,0.075021,0.065150,0.068837,0.068837,161224808
2021-09-28,0.068737,0.071926,0.062730,0.063331,0.063331,109998755
2021-09-29,0.063621,0.067537,0.062001,0.063319,0.063319,183339686
2021-09-30,0.063316,0.065795,0.061697,0.062610,0.062610,214363305
2021-10-01,0.062707,0.077919,0.060897,0.075506,0.075506,632081626
2021-10-02,0.075413,0.075413,0.068023,0.070733,0.070733,440039570
2021-10-03,0.070622,0.076315,0.068628,0.076216,0.076216,467448454
2021-10-04,0.076309,0.102418,0.073422,0.094789,0.094789,1784971953
2021-10-05,0.095281,0.096082,0.081068,0.086737,0.086737,926630169
2021-10-06,0.086536,0.088899,0.077971,0.081937,0.081937,694220324
2021-10-07,0.082028,0.094105,0.078534,0.088230,0.088230,754830127
2021-10-08,0.087934,0.093422,0.084636,0.086306,0.086306,460426515
2021-10-09,0.086212,0.086212,0.081617,0.082919,0.082919,328092877
2021-10-10,0.082910,0.083221,0.074370,0.074866,0.074866,364945991
2021-10-11,0.074774,0.077259,0.069932,0.071046,0.071046,244271737
2021-10-12,0.071053,0.078512,0.069532,0.073997,0.073997,301863946
2021-10-13,0.073906,0.077296,0.070030,0.075510,0.075510,459612667
2021-10-14,0.075804,0.085795,0.074690,0.079403,0.079403,629215548
2021-10-15,0.079502,0.080449,0.072616,0.073438,0.073438,470309773
2021-10-16,0.073337,0.075739,0.072437,0.073109,0.073109,291771432
2021-10-17,0.073009,0.074504,0.067252,0.070819,0.070819,350398466
2021-10-18,0.070721,0.071596,0.067506,0.069108,0.069108,295545416
2021-10-19,0.069304,0.070001,0.067207,0.067712,0.067712,235306664
2021-10-20,0.067713,0.071388,0.065928,0.069694,0.069694,333249631
2021-10-21,0.069700,0.070088,0.065977,0.067803,0.067803,149771366
2021-10-22,0.068400,0.071196,0.066303,0.068096,0.068096,143610065
2021-10-23,0.067997,0.069336,0.066826,0.067361,0.067361,94274774
2021-10-24,0.067459,0.067557,0.062827,0.063819,0.063819,126973882
2021-10-25,0.063815,0.067461,0.063376,0.067067,0.067067,138546832
2021-10-26,0.067160,0.073304,0.065304,0.070019,0.070019,266639453
2021-10-27,0.070117,0.070813,0.060249,0.061452,0.061452,195453251
2021-10-28,0.061451,0.067339,0.059949,0.063129,0.063129,205771862
2021-10-29,0.063132,0.074607,0.062626,0.073014,0.073014,387065645
2021-10-30,0.073216,0.083537,0.068096,0.083058,0.083058,566876251
2021-10-31,0.082578,0.083841,0.067680,0.071432,0.071432,401250847
2021-11-01,0.071827,0.071827,0.067536,0.069530,0.069530,184402841
2021-11-02,0.069522,0.070947,0.067123,0.069360,0.069360,258316616
2021-11-03,0.069558,0.070333,0.065152,0.068057,0.068057,247936384
2021-11-04,0.068254,0.135214,0.066553,0.094494,0.094494,3324074115
2021-11-05,0.094984,0.114023,0.080626,0.085435,0.085435,1502022970
2021-11-06,0.085236,0.085236,0.075482,0.081205,0.081205,604404286
2021-11-07,0.081119,0.086011,0.078274,0.078718,0.078718,326775025
2021-11-08,0.078520,0.078715,0.073238,0.074635,0.074635,345898851
2021-11-09,0.074336,0.077916,0.072146,0.076009,0.076009,356486402
2021-11-10,0.076113,0.083423,0.070081,0.072107,0.072107,566035208
2021-11-11,0.072005,0.073916,0.069822,0.072836,0.072836,243068750
2021-11-12,0.072746,0.073454,0.069325,0.071225,0.071225,218401660
2021-11-13,0.071310,0.072896,0.070301,0.071566,0.071566,154473520
2021-11-14,0.071659,0.072016,0.069476,0.070612,0.070612,149890430
2021-11-15,0.070722,0.078216,0.070403,0.070900,0.070900,390740180
2021-11-16,0.071106,0.071106,0.063459,0.065355,0.065355,293425087
2021-11-17,0.065441,0.069557,0.062957,0.068613,0.068613,221684077
2021-11-18,0.068703,0.068787,0.060164,0.061108,0.061108,221426622
2021-11-19,0.061002,0.066289,0.060794,0.066261,0.066261,182091358
2021-11-20,0.066353,0.067424,0.063230,0.066785,0.066785,211868791
2021-11-21,0.066924,0.072429,0.064023,0.066480,0.066480,390355790
2021-11-22,0.066456,0.066739,0.062461,0.063433,0.063433,268471774
2021-11-23,0.063529,0.066044,0.063140,0.064912,0.064912,209159992
2021-11-24,0.065004,0.066023,0.062212,0.064138,0.064138,212573432
2021-11-25,0.062885,0.068796,0.062347,0.063386,0.063386,196834019
2021-11-26,0.065722,0.066178,0.057533,0.058731,0.058731,427109330
2021-11-27,0.058820,0.060366,0.057990,0.059155,0.059155,296041769
2021-11-28,0.059138,0.059635,0.054697,0.059315,0.059315,388604423
2021-11-29,0.059205,0.060928,0.057727,0.058750,0.058750,163981097
2021-11-30,0.058736,0.060302,0.056854,0.058128,0.058128,216138435
2021-12-01,0.058119,0.059617,0.056337,0.056914,0.056914,166613318
2021-12-02,0.056816,0.056917,0.053916,0.054956,0.054956,190636220
2021-12-03,0.054812,0.056497,0.048845,0.050339,0.050339,239234909
2021-12-04,0.050533,0.050534,0.034971,0.041512,0.041512,266294026
2021-12-05,0.041509,0.042976,0.037715,0.039333,0.039333,165095616
2021-12-06,0.039338,0.039534,0.034626,0.039534,0.039534,180887519
2021-12-07,0.039455,0.041357,0.038417,0.039950,0.039950,401349295
2021-12-08,0.039859,0.052782,0.039541,0.045723,0.045723,821636850
2021-12-09,0.045673,0.046414,0.038539,0.039241,0.039241,393854415
2021-12-10,0.039345,0.040250,0.036313,0.036374,0.036374,133223215
2021-12-11,0.036467,0.038967,0.035767,0.038830,0.038830,114106151
2021-12-12,0.038824,0.039013,0.037203,0.038220,0.038220,91319745
2021-12-13,0.038143,0.038471,0.033277,0.034211,0.034211,106219921
2021-12-14,0.034211,0.035902,0.033061,0.035521,0.035521,116248980
2021-12-15,0.035517,0.035909,0.032222,0.035019,0.035019,117196684
2021-12-16,0.035018,0.035635,0.033663,0.033805,0.033805,89681729
2021-12-17,0.033810,0.034208,0.031331,0.032309,0.032309,91526583
2021-12-18,0.032328,0.033303,0.031418,0.032512,0.032512,66530053
2021-12-19,0.032508,0.032896,0.031402,0.031712,0.031712,61321160
2021-12-20,0.031703,0.031925,0.028665,0.030073,0.030073,97002389
2021-12-21,0.029977,0.033010,0.029620,0.031117,0.031117,121842866
2021-12-22,0.031120,0.031638,0.029991,0.030813,0.030813,96038095
2021-12-23,0.030714,0.032611,0.029834,0.031908,0.031908,115399265
2021-12-24,0.031815,0.033326,0.031215,0.031732,0.031732,129147663
2021-12-25,0.031841,0.032530,0.031481,0.032206,0.032206,71702382
2021-12-26,0.032202,0.032316,0.031076,0.031712,0.031712,68577732
2021-12-27,0.031716,0.032410,0.031272,0.031272,0.031272,81678418
2021-12-28,0.031387,0.031387,0.028251,0.029216,0.029216,103489308
