,Date,Open,High,Low,Close,Adj Close,Volume
192,21/2/2021,0.296638,0.338227,0.290703,0.320869,0.320869,97433633
193,22/2/2021,0.321067,0.364493,0.237383,0.294749,0.294749,169312004
194,23/2/2021,0.294992,0.315817,0.180338,0.240909,0.240909,260326263
195,24/2/2021,0.23973,0.265616,0.218053,0.248751,0.248751,67736066
196,25/2/2021,0.248324,0.266396,0.2311,0.234386,0.234386,75563707
197,26/2/2021,0.235331,0.246505,0.220868,0.236124,0.236124,44020808
198,27/2/2021,0.2363,0.257079,0.235114,0.244336,0.244336,37690460
199,28/2/2021,0.244764,0.26045,0.201274,0.217867,0.217867,41280972
200,1/3/2021,0.218822,0.245678,0.217316,0.239214,0.239214,45640162
201,2/3/2021,0.239544,0.26429,0.23048,0.250755,0.250755,52593010
202,3/3/2021,0.25111,0.319547,0.247249,0.311985,0.311985,185731682
203,4/3/2021,0.310664,0.436309,0.295094,0.364264,0.364264,631611321
204,5/3/2021,0.364841,0.426519,0.337342,0.352217,0.352217,213232253
205,6/3/2021,0.351387,0.370898,0.319259,0.346676,0.346676,117142228
206,7/3/2021,0.346814,0.388459,0.341532,0.382382,0.382382,155982512
207,8/3/2021,0.382227,0.479087,0.381092,0.456894,0.456894,346084080
208,9/3/2021,0.45841,0.578875,0.45841,0.528256,0.528256,596743343
209,10/3/2021,0.527148,0.52741,0.455792,0.485719,0.485719,221001199
210,11/3/2021,0.485325,0.56387,0.477465,0.532851,0.532851,283703465
211,12/3/2021,0.533626,0.625919,0.524539,0.616923,0.616923,385725450
212,13/3/2021,0.617623,0.783699,0.557627,0.690116,0.690116,651531404
213,14/3/2021,0.688141,0.745139,0.652417,0.694451,0.694451,416986491
214,15/3/2021,0.690043,0.721832,0.618722,0.674704,0.674704,274768178
215,16/3/2021,0.673891,0.683068,0.579241,0.596672,0.596672,218485337
216,17/3/2021,0.597022,0.62569,0.50932,0.60904,0.60904,289467292
217,18/3/2021,0.607218,0.685209,0.573625,0.625977,0.625977,368497299
218,19/3/2021,0.62534,0.631156,0.598483,0.614704,0.614704,145579598
219,20/3/2021,0.615739,0.615739,0.54613,0.546508,0.546508,132542062
220,21/3/2021,0.545449,0.601658,0.533843,0.570859,0.570859,177096134
221,22/3/2021,0.570527,0.621162,0.530787,0.567479,0.567479,231892060
222,23/3/2021,0.566257,0.596983,0.520666,0.579719,0.579719,185162044
223,24/3/2021,0.578932,0.675872,0.560744,0.596688,0.596688,355528409
224,25/3/2021,0.59581,0.619807,0.560321,0.606524,0.606524,208850695
225,26/3/2021,0.606145,0.633667,0.585513,0.628899,0.628899,156066737
226,27/3/2021,0.630591,0.747211,0.616441,0.733565,0.733565,388171666
227,28/3/2021,0.732082,0.93274,0.696937,0.834792,0.834792,725574458
228,29/3/2021,0.836655,0.892868,0.784462,0.811072,0.811072,345323406
229,30/3/2021,0.810071,0.874819,0.797555,0.84906,0.84906,272671106
230,31/3/2021,0.852272,0.871681,0.76922,0.829252,0.829252,284096566
231,1/4/2021,0.830542,0.833407,0.772441,0.782621,0.782621,190222775
232,2/4/2021,0.782948,0.826094,0.747272,0.812759,0.812759,222293402
233,3/4/2021,0.813006,0.813006,0.714267,0.714343,0.714343,157103907
234,4/4/2021,0.714241,0.777364,0.705431,0.756975,0.756975,138391412
235,5/4/2021,0.756528,0.759888,0.673053,0.676128,0.676128,158123289
236,6/4/2021,0.675126,0.682889,0.605666,0.640521,0.640521,157835523
237,7/4/2021,0.639451,0.651538,0.53195,0.633145,0.633145,167058218
238,8/4/2021,0.634798,0.694423,0.607082,0.685046,0.685046,158227239
239,9/4/2021,0.685142,0.749591,0.662426,0.698801,0.698801,182427961
240,10/4/2021,0.699403,0.699897,0.638371,0.664727,0.664727,99632706
241,11/4/2021,0.66432,0.673179,0.618286,0.643333,0.643333,88367701
242,12/4/2021,0.643256,0.705694,0.632308,0.685509,0.685509,114818249
243,13/4/2021,0.687354,0.704884,0.646612,0.668292,0.668292,87952660
244,14/4/2021,0.668904,0.670887,0.615614,0.64667,0.64667,67665888
245,15/4/2021,0.646381,0.70088,0.643822,0.683905,0.683905,73808737
246,16/4/2021,0.682939,0.710757,0.631158,0.705685,0.705685,122709824
247,17/4/2021,0.705458,0.708748,0.650122,0.667701,0.667701,89710362
248,18/4/2021,0.668416,0.675961,0.475452,0.560647,0.560647,114149263
